Topic,Count,Name,Representation,Representative_Docs
-1,13,-1_aid_nato_medical_supplies,"['aid', 'nato', 'medical', 'supplies', 'peace', 'humanitarian aid', 'rossotrudnichestvo', 'activities', 'organization', 'participants']","['A #Russian aid #convoy, loaded with 1300 kg of #medicines and #medical #supplies to #Health Directorate, arrives in #Lattakia #Syria_earthquake', '#Earthquake: A #Russian aid convoy, loaded with 1300 kg of medicines and medical supplies to Health Directorate, arrives in #Lattakia', 'A Russian aid convoy containing 1300 kg of medicines and medical supplies arrives at the Directorate of Health in #Lattakia. #Syria #Russia #SyAA #Syrianarmy🇸🇾']"
0,19,0_red_cross_red cross_russian red,"['red', 'cross', 'red cross', 'russian red', 'amp', 'people', 'war', 'icrc', 'military', 'ukrainewar']","['Russian Red Cross steals property from Ukrainian Red Cross in Crimea | Ukrainska Pravda #Ukraine #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews', 'Don\'t start this ""is a part"" of #RedCross. As your beloved will need to explain then how #Russian Red Cross is supplying food and tach med to #russianArmy, stating they are ""neutral"". Don\'t. Ukraine Red cross was during first evacuation from #Kherson -small team. #fact', '#Russian Red Cross steals property from Ukrainian Red Cross in #Crimea']"
1,17,1_rossotrudnichestvo_agency_russians_people,"['rossotrudnichestvo', 'agency', 'russians', 'people', 'paris', 'children', 'ukrainewar', 'aid', 'losses', 'mission ukraine']","['Almost a hectare of flowers will be presented in «Zaryadye» Park for the first time More information: #RussianHouse #Rossotrudnichestvo #Moscow #AmazingRussia', 'Foreign specialists who successfully work in Russia share their impressions. #RussianHouse #Rossotrudnichestvo #Russia', ""Rossotrudnichestvo commented on Germany's statement about a coup attempt #MK #Russia #russianews #russiannews""]"
