topic,rank,doc
-1,1,"A #Russian aid #convoy, loaded with 1300 kg of #medicines and #medical #supplies to #Health Directorate, arrives in #Lattakia #Syria_earthquake"
-1,2,"#Earthquake: A #Russian aid convoy, loaded with 1300 kg of medicines and medical supplies to Health Directorate, arrives in #Lattakia"
-1,3,A Russian aid convoy containing 1300 kg of medicines and medical supplies arrives at the Directorate of Health in #Lattakia. #Syria #Russia #SyAA #Syrianarmy🇸🇾
0,1,Russian Red Cross steals property from Ukrainian Red Cross in Crimea | Ukrainska Pravda #Ukraine #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews
0,2,"Don't start this ""is a part"" of #RedCross. As your beloved will need to explain then how #Russian Red Cross is supplying food and tach med to #russianArmy, stating they are ""neutral"". Don't. Ukraine Red cross was during first evacuation from #Kherson -small team. #fact"
0,3,#Russian Red Cross steals property from Ukrainian Red Cross in #Crimea
1,1,Almost a hectare of flowers will be presented in «Zaryadye» Park for the first time More information: #RussianHouse #Rossotrudnichestvo #Moscow #AmazingRussia
1,2,Foreign specialists who successfully work in Russia share their impressions. #RussianHouse #Rossotrudnichestvo #Russia
1,3,Rossotrudnichestvo commented on Germany's statement about a coup attempt #MK #Russia #russianews #russiannews
