topic,LABEL_0,LABEL_1,LABEL_2
-1,0.5054161915621437,0.3235461801596351,0.17103762827822122
0,0.676923076923077,0.2846153846153846,0.038461538461538464
1,0.17272727272727273,0.3090909090909091,0.5181818181818182
2,0.04716981132075472,0.5377358490566038,0.41509433962264153
3,0.7926829268292683,0.1951219512195122,0.012195121951219513
4,0.9135802469135802,0.08641975308641975,0.0
5,0.9487179487179487,0.05128205128205128,0.0
6,0.013333333333333334,0.5066666666666667,0.48
7,0.27941176470588236,0.6029411764705882,0.11764705882352941
8,0.6153846153846154,0.36923076923076925,0.015384615384615385
9,0.15,0.35,0.5
10,0.23333333333333334,0.5666666666666667,0.2
11,0.2,0.6333333333333333,0.16666666666666666
12,0.01694915254237288,0.3389830508474576,0.6440677966101694
13,0.6896551724137931,0.27586206896551724,0.034482758620689655
14,0.5689655172413793,0.43103448275862066,0.0
15,0.1896551724137931,0.6206896551724138,0.1896551724137931
16,0.8793103448275862,0.08620689655172414,0.034482758620689655
17,0.0,0.5,0.5
18,1.0,0.0,0.0
19,0.2765957446808511,0.3617021276595745,0.3617021276595745
20,0.6739130434782609,0.2826086956521739,0.043478260869565216
21,0.9130434782608695,0.06521739130434782,0.021739130434782608
22,0.3111111111111111,0.3111111111111111,0.37777777777777777
23,0.47619047619047616,0.35714285714285715,0.16666666666666666
24,0.5714285714285714,0.38095238095238093,0.047619047619047616
25,0.024390243902439025,0.4878048780487805,0.4878048780487805
26,0.8,0.125,0.075
27,1.0,0.0,0.0
28,0.9743589743589743,0.02564102564102564,0.0
29,0.8717948717948718,0.1282051282051282,0.0
30,0.2631578947368421,0.7105263157894737,0.02631578947368421
31,0.7105263157894737,0.2631578947368421,0.02631578947368421
32,0.8918918918918919,0.10810810810810811,0.0
33,0.3783783783783784,0.5945945945945946,0.02702702702702703
34,0.7777777777777778,0.2222222222222222,0.0
35,0.6571428571428571,0.2857142857142857,0.05714285714285714
36,0.6857142857142857,0.2571428571428571,0.05714285714285714
37,0.05714285714285714,0.8,0.14285714285714285
38,0.0,0.22857142857142856,0.7714285714285715
39,0.7647058823529411,0.20588235294117646,0.029411764705882353
40,0.8823529411764706,0.08823529411764706,0.029411764705882353
41,0.8823529411764706,0.11764705882352941,0.0
42,0.8181818181818182,0.15151515151515152,0.030303030303030304
43,0.45454545454545453,0.5151515151515151,0.030303030303030304
44,0.0,1.0,0.0
45,0.9354838709677419,0.06451612903225806,0.0
46,1.0,0.0,0.0
47,0.9655172413793104,0.034482758620689655,0.0
