topic,rank,doc
12,1,"I hope that an ordinary, quiet life will be realized around the world as soon as possible. And, of course, in Eastern Europe. The proceeds of this NFT (30 ETH) will be donated to the Japanese Red Cross Society. #NFT #Ukraine #donations #RedCross"
12,2,"I hope that an ordinary, quiet life will be realized around the world as soon as possible. And, of course, in Eastern Europe. The proceeds of this NFT (30 ETH) will be donated to the Japanese Red Cross Society. #NFT #Ukraine️ #Donations"
12,3,"Ukrainian Boxer Wladimir Klitschko releases #NFT! The #NFTs were made in partnership with 'WhlsBe,' and will be available to mint in a tiered pricing model for $100, $1,000, and $10,000. All proceeds from the NFT sales will be donated to Ukraine Red Cross and UNICEF. #Ukraine❤️"
13,1,These prisoners have rights under the Geneva convention! Any mistreatment to them of any kind is a war crime! Please punish the russian war criminals harshly! #SlavaUkraini #StopPutinNOW #CrimeaIsUkraine
13,2,"The first prisoners of war (POWs) in #Ukraine have been prosecuted and sentenced, with many more to come. In this blog, legal adviser Yvette Issar outlines how fair trial must be guaranteed to #POWs under the Third Geneva Convention. 👇"
13,3,The International Committee of the Red Cross ( ) says prisoners of war images breach Geneva Convention (Article 13). Don't share images of prisoners of war PoW. PoW must at all times be humanely treated. Respect Human Rights! 🇺🇳 #HumanRights #Ukraine #Russia #RussiaCrisis
14,1,Red Cross ⛑️ suspends activities in #Ukraine 🇺🇦 for security reasons.
14,2,⚡ International Committee of the Red Cross suspends activities in #Ukraine for security reasons - Reuters
14,3,🇺🇦⚡ International Committee of the #RedCross suspends activities in #Ukraine for security reasons - Reuters for security reasons...Red Cross...suspends activities...Red Cross...security reasons...
15,1,Save soldiers and people from #Mariupol #Azovstal please🙏 @ UN 🙏🙏🙏🇺🇦🌻🌻
15,2,Save soldiers and people from #Mariupol #Azovstal please🙏🙏🙏 🇺🇦🌻🌻
15,3,🙏Save soldiers and people from #Mariupol #Azovstal please🙏 🙏🙏🙏🇺🇦🌻🌻
16,1,#denazification: 'It would be hard to exaggerate the toll that the international armed conflict in Ukraine has had on civilians over the last 100 days. The scale of destruction in cities defies comprehension.' ICRC reports. #RussianUkrainianWar #Day100
16,2,"""It would be hard to exaggerate the toll that the international armed conflict in #Ukraine has had on civilians over the last 100 days. The scale of destruction in cities defies comprehension."" via 1/2"
16,3,"The said on Friday the scale of the destruction in #Ukraine due to #RussianInvasion “defies comprehension.” ""It would be hard to exaggerate the toll that the international armed conflict in Ukraine has had on civilians over the last 100 days,"" said."
17,1,"The Canadian Government has said it will match all donations to the Red Cross to help bring humanitarian relief to Ukraine. The federal government has said it will match all donations by Canadians dollar-for-dollar, to a maximum of $10 million. #Ukraine"
17,2,NEW: Canada announces it will match additional $20 million in donations to the Canadian Red Cross - making it a total of $30 million in government contributions to support relief efforts in the region #cdnpoli #Ukraine
17,3,"Through the Canadian Red Cross Ukraine Humanitarian Crisis Appeal, Navacord is donating $100,000 to help bring humanitarian aid to Ukraine. #Ukraine #TheMitchellAbbottGroup"
18,1,Just a daily reminder not to donate to ( because they obviously have enough russian money) and (because they are completely useless) and that #RussiaIsATerroristState
18,2,"GM! A reminder, #russiaisaterrorisstate . and are useless organizations that is being mostly fund by USA (our tax money). Also, #allrussiansareresponsible #russiaisaterrorisstate your prices are going up because of #russiaisaterrorisstate"
18,3,Daily reminder #russiaisaterrorisstate #allrussiansareresponsible are #Useless #organizations
19,1,"The whole world watched them bravely protecting civilians for 2 months, now its time we help our superheroes. Help us evacuate our soldiers! #SaveMariupol #saveAzov #SaveUkraine 🙏🏻"
19,2,"#SaveMariupol The whole world watched them bravely protecting civilians for 2 months, now its time we help our superheroes. Help us evacuate our soldiers!"
19,3,"We are grateful for the evacuation of civilians from #Mariupol!Help us evacuate our soldiers who are left at #Azovstal plant under constant heavy shellings.The whole world watched them bravely protecting civilians for more than 2 months,now its time we help our superheroes."
20,1,"Thank you, #UN #UnitedNotning , that's on you. #Russia blew up the dam; and you even didn't help with humanitarian aid, no rescue teams . Thank you #RedCross, for the same. No rescue teams from ANY SINGLE COUNTRY in #Kherson. AT ALL."
20,2,That will be THE FIRST international government help arriving to #Ukraine for helping fighting #Kherson flooding as outcome of #Russia blew up the dam. #Moldova. Still #UnitedNothing #UN = 0 #RedCross =0
20,3,Thank you #UN #UnitedNotning . #Russia blew up the dam; and now shelling people fighting flooding and evacuation grounds in #Kherson. Thank you #RedCross. You are not there too.
21,1,CRISIS #Ucrania #Rusia #Russia #Ukraine 🇷🇺🇺🇦 2 children (11 &amp; 3 years old) were wounded during the shelling of #Kievsky district of Donetsk.
21,2,CRISIS #Ucrania #Rusia #Russia #Ukraine 🇷🇺🇺🇦No Nazis in Ukraine? 🤔
21,3,CRISIS #Ucrania #Rusia #Russia #Ukraine 🇷🇺🇺🇦 For the Children of Donbass. 💖
22,1,"Ukrainians are incredibly grateful for the evacuation of civilians from Mariupol! From the depth of our hearts, thank you! Today, we ask you save Ukrainian soldiers left at the Azovstal under constant heavy bombardments. Please help us evacuate our soldiers! #Mariupol #Azovstal"
22,2,We beg to evacuate the Ukrainian soldiers who remain at the Azovstal plant under constant heavy bombardment. Do they have a chance to survive? Help us evacuate our soldiers! #SaveMariupol #Azovstal
22,3,"Thanks for evacuation of civilians from Mariupol!Please save Ukrainian soldiers who are left at Azovstal plant under constant heavy bombardments. Do they have a chance to survive? not enough food and medicine, many of them are wounded. Help us evacuate our soldiers! #SaveMariupol"
23,1,🚨FACT CHECK🚨 False information circulating online is jeopardising the work of in #Ukraine This has capacity to harm people we help across the 🌍 Think &amp; fact check before you share. Because misinfo can costs lives. So here are the facts ⬇️
23,2,▶ are being attacked by the US goon squad fueling war in #Ukraine. ▶ are being attacked by the US goon squad fueling war in #Ukraine. will recognise the pattern as she can identify the #US goon squad who did the same to #Ethiopia 2020.
23,3,"#ukraine I constantly repeat myself lately.... Facts I call it. What about you? , ( 🤔🤔, 🤔 ??) : I know, I know... you are shameful excluded!! You left Ukraine!!!!!!!!"
24,1,"‼️🏥The #RedCross responded to #Russia's invitation to investigate the attack on the pre-trial detention center in Yelenovka Earlier, the Red Cross claimed that it had no mandate to investigate the attack on the pre-trial detention center in #Yelenovka."
24,2,"The Red Cross has visited prisoners of war in russia and #Ukraine. As the International Committee of the Red Cross (ICRC) announced, employees were able to visit Ukrainian prisoners of war this week and last. Apparently everything is fine. Reports: scarce."
24,3,"💬#Zakharova: ‼️The International Committee of the Red Cross has not responded to our request to help us visit Russian #POWs in #Ukraine, while #ICRC representatives and Ukrainian MPs have been allowed to visit the Ukrainian POWs at the Yelenovka pre-trial detention centre (DPR)"
25,1,"""Ukraine"" Merch Profit from this art will be donated to the Red Cross in support of humanitarian relief for #Ukrainians. #UkraineUnderAttack #UkraineRussiaWar #Ukriane #UkraineRussianWar #UkraineKrieg"
25,2,Working on a ukranien kitty to add to our ukranien support collection we will be adding some 1/1 art as well as the art with 100 editions the funds from the 1/1 art will be 100% donated to red cross #UkraineConflict #UkraineUnderAttack make love not war 😔💔
25,3,"""Ukraine"" iPhone Profit from this art will be donated to the Red Cross in support of humanitarian relief for #Ukrainians. #UkraineUnderAttack #UkraineRussiaWar #Ukriane #UkraineRussianWar #iPhonecase #iPhone13 #iPhone13ProMax"
26,1,🏥🏥 Health facilities across #Tigray have been completely looted &amp; destroyed by #Ethiopia &amp; its allies. #EndTigrayFamine #EndTigraySiege
26,2,Health facilities across #Tigray have been completely looted &amp; destroyed by #Ethiopia &amp; its allies. #EndTigrayFamine #EndTigraySiege
26,3,#🏥🏥 Health facilities across #Tigray have been completely looted &amp; destroyed by #Ethiopia &amp; Eritrea its allies. #EndTigrayFamine #EndTigraySiege #TigrayGenocide
27,1,Where is the promised help for victims in Ukraine? #ecocide #RussiaIsATerroristState #Kherson
27,2,??? Where is the promised help for victims in Ukraine? #ecocide #RussiaIsATerroristState #Kherson
27,3,"#russiaisaterrorisstate is committing the genocide of Ukrainians non-stop. , are useless! Only people throughout the world can help Ukraine save people lives and win the war - ask your governments to provide Ukraine with weapons. #ArmUkrainaNow"
28,1,We demand the and the immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives! #russiaisaterrorisstate #RussianWarCrimes #GenocideOfUkrainians
28,2,We demand the and the immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives! #russiaisaterrorisstate #OlenivkaMassacre #olenivka #GenocideOfUkrainians
28,3,We demand the and the immediately respond to the terrorist act committed by russia in #Olenivka . You’re responsible for their lives! #russiaisaterrorisstate #Kriegsverbrechen #RussiaIsATerroristState #Kriegsverbrecher
29,1,"In #Mariupol russian occupiers shelled the building marked ""Red Cross"" This is one of the most outrageous war crimes! Such crosses mark places where civilian or humanitarian cargo situated. #StopRussia"
29,2,The building marked by a Red Cross sign is a hospital in #Mariupol 🇺🇦 Russia bombed it. #StopRussianAggression
29,3,📷 Russian army bombed a hospital in #Mariupol. The building was marked by a Red Cross sign. #Ukraine #UkraineRussiaWar
30,1,"Civilian evacuations from Mariupol and Volnovakha will not happen on Saturday, says Red Cross #UkraineUnderAttaсk"
30,2,"#Russia and #Ukraine have agreed to establish three civilian evacuation sites in #Mariupol with the support of the United Nations and the Red Cross, the municipal council said via Telegram."
30,3,"Russia and Ukraine have agreed to establish three civilian evacuation sites in #Mariupol with the support of the United Nations and the Red Cross, the municipal council said via Telegram."
31,1,"A child and her mother separated in a 🇷🇺 filtration camp after being rescued from #Azovstal #Mariupol , the child went on to UA territory and the mother was retained at the separation camp… #REUNITE #StandWithUkraine #SendBoots #SaveAzovstalTroops"
31,2,"A child and her mother separated in a 🇷🇺 filtration camp after being rescued from #Azovstal #Mariupol , the child went on to UA territory and the mother was retained at the separation camp… #REUNIT #StandWithUkraine #SaveAzovstal"
31,3,"During the evacuation of civilians from AzovStal, #Mariupol, mother was separated from her child by russian forces. The child is safe in Zaporizhia,but the mother was detailed in russian filtration camp. Her life may be in danger! #RussianWarCrimes"
32,1,"Russia claims to have taken 5.5 Ukrainians [incl 749,000 children] into Russia as of 29 Mar 2023. + still have no access to these persons. The world cannot know how many went willingly, or were coerced or forced at gunpoint from their homes in #Ukraine."
32,2,"Feb. 3: 7/ #Russian #WarCrimes against #Ukrainian #Children ..take appropriate #Measures to respond to a possible #Crime, to #Find &amp; #Punish the #Guilty..continued 8/ #UkraineRussiaWar #CyberCrime #Ukraine #Violence . . ."
32,3,"Feb. 3: 6/ #Russian #WarCrimes against #Ukrainian #Children ..I call on the #CyberPolice, the #NationalPolice &amp; the #ProsecutorGeneral's #Office to take..continued 7/ #UkraineRussiaWar #CyberCrime #Ukraine #Violence . . ."
33,1,#Red Cross says team held near #Mariupol 'released'
33,2,'Red Cross says its team is being held close to Mariupol in Ukraine - 🙏 #Ukraine
33,3,Red Cross says its team is being held close to Mariupol in #Ukraine
34,1,"Evacuation route out of Mariupol was mined, Red Cross says via #RussiaUkraineWar"
34,2,"#RussianUkrainianWar Evacuation route out of Mariupol was mined, Red Cross says"
34,3,"Evacuation route out of Mariupol was mined, Red Cross says #UkraineWar"
35,1,The Fuel Crisis in Yemen 🇾🇪 vs UAE 🇦🇪. #Yemen #Congress #Reuters #news #NewsAlert #Sanaa #Ukraine️ #FuelPrices #sanaa #TheGuardian #cbsnews #CNN #USA #UnitedStates #UnitedNations #FuelPrice
35,2,Sanaa Government 🇾🇪 #Yemen #Sanaa #news #Reuters #Congress #Ukraine️ #USA #UnitedStates #help #WarCrimes #WashingtonDC #NewsBreak
35,3,⛔ Stop the US-backed Saudi's aggression on Yemenis. #Yemen #Congress #USA #UnitedStates #news #WarCrimes #Blockade #RussiaUkraineWar
36,1,COVERUP IN PROGRESS #StandWithUkraine #StandUpForUkraine #UkraineWar #UkraineRussianWar #Russia #Russian #RussianWarCrimesInUkraine #BuchaGenocide #BuchaMassacre #Bucha
36,2,#StandWithUkraine #StopPutinNOW #StopRussianAggression #StopTheWarInUkraine CLOSE THE SKY OVER UKRAINE!
36,3,#StandWithUkraine #StopPutinNOW #StopRussianAggression #StopTheWarInUkraine CLOSE THE SKY OVER UKRAINE! STOP THE WAR!
37,1,"With support from Romanian Red Cross, four Italian Red Cross trucks carrying 32 tonnes of food, blankets, medicine and trauma kits have arrived in Chernivtsi, #Ukraine, to support the emergency response during the conflict. 🚚 #StandWithUkraine️ #PrayForUkraine #PrayPeace"
37,2,"With support from Romanian Red Cross, four Italian Red Cross trucks carrying 32 tonnes of food, blankets, medicine and trauma kits have arrived in Chernivtsi, #Ukraine, to support the emergency response during the conflict. 🚚"
37,3,"ifrc RT : With support from Romanian Red Cross, four Italian Red Cross trucks carrying 32 tonnes of food, blankets, medicine and trauma kits have arrived in Chernivtsi, #Ukraine, to support the emergency response during the conflict. 🚚 …"
38,1,For every completed property transaction during March we will be donating £10 to the British Red Cross Ukraine Crisis Appeal 💙 💛 You can also support the Ukraine Crisis Appeal by donating via our Just Giving fundraiser 👉 #Ukraine
38,2,"We're proud to have worked with since 2016 to help communities in times of uncertainty. Through our partnership, we're donating £700k to the British Red Cross #Ukraine Crisis Appeal. And we'll match donations up to £500k. Please donate 👇 #WorldRedCrossDay"
38,3,We've been working with since 2016 to help communities in times of uncertainty. Through our partnership we're donating £700k to the British Red Cross #Ukraine Crisis Appeal. And we'll match donations up to £500k #WorldRedCrossDay Please donate 👇
39,1,"stated that it did not guarantee the safety of 🇺🇦 military personnel who left #Azovstal. “We did not guarantee the safety of the PoWs once in enemy hands because it is not within our power to do so,” the Red Cross reported."
39,2,The International Committee of the Red Cross claims that it did not guarantee the safety of #Ukrainian prisoners of war who left the Azovstal plant in Mariupol
39,3,ICRC says that it did not guarantee safety of Azovstal prisoners #Ukraine
40,1,Any comments from ? ? documented #RussianWarCrimes here
40,2,Any comments from ? documented #RussianWarCrimes here
40,3,Any comments from ? ? documented #RussianWarCrimes
41,1,"Red Cross says no permission yet to visit Olenivka prison. #Russia said it had invited the Red Cross and the UN to visit a prison where dozens of prisoners of war died. Meanwhile, #Ukraine's president ordered residents to leave the eastern Donetsk region."
41,2,"Russia denied the International Committee of the Red Cross access to Ukrainian prisoners of war, held in the penal colony in #Olenivka, despite the Geneva Convention in force. #StopRussia #StandWithUkraine #StopRussianAggression #RussiaIsATerroristState"
41,3,"“Russia denied the International Committee of the Red Cross access to Ukrainian prisoners of war, held in the penal colony in #Olenivka, despite the Geneva Convention in force. #StopRussia #StandWithUkraine #StopRussianAggression #RussiaIsATerroristState”"
42,1,Do NOT donate to or #ICRC is totally corrupt and bias organisation #hrw and #Amnesty are monetizing #Ukraine conflict doing nothing but justifying #RussianWarCrimes If you want to save lives in Ukraine consider donation to foundation
42,2,Do NOT donate to or #ICRC is totally corrupt and bias organisation #hrw and #Amnesty are monetizing #Ukraine conflict while doung nothing but justifying #RussianWarCrimes If you want to save lives in Ukraine consider donation to foundation
42,3,"Do NOT donate to or #ICRC is totally corrupt and bias organization. #hrw and #Amnesty are monetizing #Ukraine conflict while doung nothing but justifying #RussianWarCrimes If you want to save lives in Ukraine, consider donation to foundation"
43,1,A Red Cross convoy heading to #Mariupol will try again to evacuate civilians from the besieged port as Russian forces looked to be regrouping for new attacks in the southeast. #UkraineRussiaWar Read full story:
43,2,A Red Cross convoy travelling to the Ukrainian city of #Mariupol will try again to evacuate civilians from the besieged port on Saturday as #Russian forces looked to be regrouping for new attacks in the southeast.
43,3,A Red Cross convoy heading to #Mariupol will try again to evacuate civilians from the besieged port as Russian forces looked to be regrouping for new attacks in the southeast.
44,1,"The Red Cross Society of #China, upon request, will provide the #Ukrainian Red Cross with 5 million yuan worth of humanitarian aid, including food and daily necessities. The first batch of aid supplies left Beijing on Wed: Chinese FM"
44,2,"The Red Cross Society of China will provide to the #Ukrainian Red Cross Society a batch of humanitarian assistance worth 5mln yuan consisting of food, daily necessities &amp; other supplies. The first shipment left Beijing on March 9."
44,3,"At the request of #Ukraine, the Red Cross Society of China will provide a batch of humanitarian aid supplies, including food and daily necessities, worth 5 million yuan ($791,000) to Ukraine. The first batch of supplies has left Beijing on March 9."
45,1,#BuchaMassacre and would you even care to comment on the barbaric actions of russians? What about the massive massacre in Bucha (and several other cities)? Still no words?
45,2,"Citizens murdered by the #Russian Army in #BuchaMassacre. You came to target children, women, schools, and hospitals. Even the Red Cross was targeted by #Russia. We will not forgive or forget. #RussianWarCrimesInUkraine"
45,3,"The #Russian Army committed many war crimes in the #BuchaMassacre. #Russia targets children, women, schools, the Red Cross, and hospitals. We will not forgive or forget #RussianWarCrimesInUkraine #Anonymous"
46,1,We demand the UN and the ICRC immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives!#russiaisaterrorisstate
46,2,We demand the UN and the ICRC immediately respond to the terrorist act committed by russia in #Olenivka. You’re responsible for their lives! #russiaisaterrorisstate
46,3,We demand the UN and the ICRC immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives!
47,1,"Vereshchuk: Invaders thwart all attempts to get to Mariupol The invaders thwart all attempts made by the Ukrainian authorities and international organizations, including the ICRC, to get to Mariupol. #UkraineRussiaWar #UkraineInvasion"
47,2,"Iryna Vereshchuk: “Every day we try to break into the city of #Mariupol, but the occupying forces and their leadership in the russian federation are blocking all our attempts and the efforts of international organizations, including the ” Source:"
47,3,"⚡️Iryna Vereshchuk: “Every day we try to break into the city of #Mariupol, but the occupying forces and their leadership in the russian federation are blocking all our attempts and the efforts of international organizations, including the ” #StopRussia"
48,1,The Azov soldiers are heroes. I am thinking of them and the civilians with them and ask to arrange evacuation or prisoner exchange. #SaveMariupol #SaveAzovstal.
48,2,"We can't wait any longer, help us evacuate our heroes from #Azovstal! Anyone who can help and instead just watches - becomes an accomplice. #SaveAzovstalDefenders"
48,3,#SaveAzovstal Anyone who can help and instead just watches - becomes an accomplice. Save our #Azovstal heroes!
49,1,"🚨Yet,the lC focuses all their attention on #Ukraine &amp; continues to fail Tigray for over 2 years . #Ayder Hospital in #Tigray calls for urgent life-saving health care supply. #AllowAccessToTigray #TigrayUnderAttack"
49,2,Yet the lC focuses all their attention on #Ukraine &amp; continues to fail Tigray for over 2 years #Ayder Hospital in #Tigray calls for urgent life-saving health care supply #AllowAccessToTigray #TigrayUnderAttack
49,3,"🚨Yet, the lC focuses all their attention on #Ukraine &amp; continues to fail Tigray for over 2 years . #Ayder Hospital in #Tigray calls for urgent life-saving health care supply. #AllowAccessToTigray #TigrayUnderAttack h"
50,1,russia: captured and mined power units on the biggest nuclear power plant in Europe to intimidate rest of world with nuclear terrorism icrc next day: all states must join the nuclear ban treaty 🤡🤡🤡 #RussiaIsATerroristState
50,2,The danger of a global nuclear disaster at the Zaporizhzhya nuclear power plant that will affect all of Europe is caused by Russia. ‼️ Who should take control of the situation? #RussiaIsATerroristState
50,3,It’s heartbreaking 💔😩 Today the danger of a global nuclear disaster at the Zaporizhzhya nuclear power plant that will affect all of a world is caused by Russia. please take control of the situation. We must stop terrorism together. ❕#StopRussianAggression
51,1,Eurovision has arrived!!!! #MDA #Eurovision #Moldova
51,2,What is this? #Moldova #mda #Eurovision
51,3,Me during Moldova already!! #Moldova #MDA #Eurovision
52,1,"Yesterday, the whole world saw a video of the russians shooting a Ukrainian POW after he saying ""Glory to Ukraine"". Another war crime by russian barbarians, which this time was captured on video. #russiaisATerroristState 1/3"
52,2,"Most likely, yesterday you saw a video showing a Ukrainian prisoner of war being shot dead after he said ""Glory to Ukraine."" This is not the only case, rashists systematically commit war crimes. We demand that the perpetrators be brought to justice. #RussianWarCrimes"
52,3,"Yesterday there was a video circulated on social media showing a Ukrainian prisoner of war shot after saying ""Glory to Ukraine"". We have no right to allow terrorists and criminals to go unpunished. #russiaisaterroriststate"
53,1,We’re joining our friends at to show support for #Ukraine by donating to the UiPath Foundation. Donations will benefit the work of the Red Cross Ukraine and Red Cross Romania. Those interested in donating can visit:
53,2,Donate to support the Ukrainian Red Cross and its work to help civilians in this difficult time for Ukraine! You can donate on ✅ URCS website: ✅ iRaiser platform: 📢 Please share! #SupportUkraine #Ukraine #URCS #DonateUkraine
53,3,Donate to support the Ukrainian Red Cross and its work to help civilians in this difficult time for Ukraine! You can donate on ✅ URCS website: 📢 Please share! #SupportUkraine #Ukraine #URCS #DonateUkraine
54,1,"""China's Red Cross will provide humanitarian aid to Ukraine ""as soon as possible,"" Foreign Minister Wang Yi said, as he praised his country's friendship with Russia as ""rock solid""."" #China #Ukraine #HumanitarianAid"
54,2,"#China’s Red Cross will provide humanitarian aid to #Ukraine “as soon as possible”, Foreign Minister Wang Yi said, as he praised his country’s friendship with #Russia as “rock solid”."
54,3,"#China's Red Cross will provide humanitarian aid to #Ukraine ""as soon as possible"", Foreign Minister Wang Yi said, as he praised his country's friendship with #Russia as ""rock solid""."
55,1,"We are concerned of the impacts of the escalation of hostilities in #Gaza on the local population. Gaza is already facing fuel &amp; food shortages due to a continued blockade, restricting our ability to mobilise humanitarian assistance. ready to support"
55,2,Egyptian Red Crescent prepares batch of relief and medical aid to be sent to Gaza Strip #Egypt #GazaUnderAttack #Gaza #Israel #Palestine_Under_Attack #Palestine #IsraeliCrimes
55,3,The Egyptian Red Crescent announces maximum emergency to send humanitarian aid to Gaza strip as it suffers under Israeli aggression. #Gaza #GazaUnderAttack #Palestine #Israel | #مصر #غزة #غزة_تحت_القصف
56,1,I made a special design #SaveUkraine &amp; #IStandWithUkraine Profits from the sale of these hats will be channeled through an international organization for people affected by the war - #UKRAINE CRISIS ⁦ ⁩
56,2,I made a special design #SaveUkraine &amp; #IStandWithUkraine Profits from the sale of these hats will be channeled through an international organization for people affected by the war - #UKRAINE CRISIS
