topic,LABEL_0,LABEL_1,LABEL_2
-1,0.22764227642276422,0.4634146341463415,0.3089430894308943
0,0.09274193548387097,0.4798387096774194,0.4274193548387097
1,0.037037037037037035,0.7962962962962963,0.16666666666666666
2,0.03007518796992481,0.8571428571428571,0.11278195488721804
3,0.4728682170542636,0.4573643410852713,0.06976744186046512
4,0.3582089552238806,0.44776119402985076,0.19402985074626866
5,0.18032786885245902,0.5245901639344263,0.29508196721311475
6,1.0,0.0,0.0
7,0.8095238095238095,0.16666666666666666,0.023809523809523808
8,1.0,0.0,0.0
9,0.05405405405405406,0.4864864864864865,0.4594594594594595
10,0.0625,0.53125,0.40625
11,0.84,0.16,0.0
12,0.05555555555555555,0.6111111111111112,0.3333333333333333
13,0.0,1.0,0.0
14,0.625,0.3125,0.0625
