topic,rank,doc
12,2,#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada Move It On Over via
12,3,#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert No your not.
13,1,"3)Including domestic, any unofficial and third-party agency testing is prohibited. #中国 #China #Russia #新闻 #NEWS #World #UN #Asia #Europe #Africa #SouthAfrica #MiddleEast #ASEAN #International"
13,2,5)I once said that our new Chinese rocket once hovered over the United States for more than six hours #中国 #China #Russia #Ukraine #NEWS #新闻 #World #UN #Asia #Europe #Africa #MiddleEast #ASEAN #International
13,3,6)and the United States used all the technology to be unaware that it was on its own head. #中国 #China #Russia #Ukraine #NEWS #新闻 #World #UN #Asia #Europe #Africa #MiddleEast #ASEAN #International
14,1,"The russians fired missiles at the ""Chaplyne"" railway station in the Dnipropetrovsk region - at least 15 people were killed and about 50 were injured, Volodymyr Zelenskyi said at a meeting of the UN Security Council. #RussiaIsATerroristState #RussianWarCrimes #visabanforrussians"
14,2,"⚡️Zelensky: Russian troops hit a railway station in the Dnipropetrovsk region with missiles. At least 15 people were killed, and about 50 others were injured, President Volodymyr Zelenskyi said during his speech before the UN Security Council. #RussiaIsATerroristState"
14,3,"⚡️ President #Zelensky at UN security council reported that about 15 people killed, 50 wounded as result of #Russian missile strike at Chaplyne railway station in Dnipropetrovsk region. #RussiaUkraineWar"
15,1,Ukraine War - What's been happening? via #Ukraine #Russia #Belarus #war #NATO #EU #UK #US #UN #Diplomacy #Politics #sanctions #refugees #humanity #families #children #murder #CrimesAgainstHumanity #WarCrimes #ICC
15,2,Russia's war in Ukraine #UkraineRussiaCrisis #Pentagon #NATO #EuropeanUnion #UnitedNations #Crimea #Ukraine #Kyiv #Russia #Europe #BlackSea #Belarus #TheBaltics #Sanctions #SWIFTban #Invasion #UN
15,3,Russia's war in Ukraine #BreakingNews #UkraineRussiaCrisis #Pentagon #NATO #EuropeanUnion #UnitedNations #Crimea #Ukraine #Kyiv #Russia #Europe #BlackSea #Belarus #TheBaltics #Sanctions #SWIFTban #Invasion #UN #Crimes
16,1,"""#Russia can veto this resolution, but cannot veto our voices Russia cannot veto the truth Russia cannot veto our principles Russia cannot veto the #Ukrainian people Russia cannot veto the #UN Charter, &amp; Russia will not veto accountability"" Now the UN GA has to act"
16,2,Can someone please explain why #Russia still has #veto power at the UN?
16,3,"We have to “unRussia the UN”! Right to veto - can not be a right to kill! With the current UN status, Russia is neither a part of the Security Council or a UN member. #RussiaIsATerroristState"
17,1,You should take this down #RussiaIsATerroristState
17,2,#russiaisaterroriststate see this
17,3,Indeed. #russiaIsATerroristState #NoTorussiaInUN
18,1,🤝 Russian Foreign Minister Sergey #Lavrov held talks with President of the International Committee of the Red Cross on the sidelines of the 77th Session of the UN General Assembly. #RussiaICRC #UNGA77
